Date,Gold,SP500,Gold_Return,SP500_Return,SP500_MA7,SP500_MA30,SP500_Vol,Gold_Vol
2025-03-27,3060.199951171875,5693.31005859375,0.013009384653107636,-0.003306980860763864,5707.92431640625,5817.185660807291,0.011708431038760458,0.008990921692969249
2025-03-28,3086.5,5580.93994140625,0.008594225621777918,-0.01973722070834405,5694.445731026785,5799.381331380208,0.01190093674621096,0.009048686059158867
2025-03-31,3122.800048828125,5611.85009765625,0.011760910036651584,0.005538521570653376,5687.154296875,5782.622005208334,0.01199183836410098,0.008680791738803217
2025-04-01,3118.89990234375,5633.06982421875,-0.0012489260994595908,0.0037812354559083605,5682.227120535715,5766.071663411459,0.012014399737769741,0.00829546474323365
2025-04-02,3139.89990234375,5670.97021484375,0.006733143306144385,0.006728194715792668,5668.427176339285,5750.299007161459,0.012104254458135353,0.008250253965693928
2025-04-03,3097.0,5396.52001953125,-0.013662824828182485,-0.04839563335990149,5614.122907366072,5726.265673828125,0.014714148736871137,0.008707043603951381
2025-04-04,3012.0,5074.080078125,-0.02744591540200192,-0.05974960534553109,5522.962890625,5694.964013671875,0.01776251357641587,0.010208060568449345
2025-04-07,2951.300048828125,5062.25,-0.020152706232362205,-0.0023314724921273955,5432.811453683035,5664.264013671875,0.01777169785402593,0.010889681258813915
2025-04-08,2968.39990234375,4982.77001953125,0.00579400712659317,-0.015700524562941354,5347.358607700893,5631.848014322916,0.017869920978744,0.010566413289979865
2025-04-09,3056.5,5456.89990234375,0.029679322380616213,0.09515387644904849,5325.222865513393,5615.209342447916,0.02567036941417152,0.01180222629308353
2025-04-10,3155.199951171875,5268.0498046875,0.0322918210933667,-0.03460757958472693,5273.0771484375,5595.425341796875,0.026226385318916936,0.012788616741637174
2025-04-11,3222.199951171875,5363.35986328125,0.02123478734687345,0.018092095201708958,5229.1328125,5575.720670572917,0.026285642108736854,0.012673382130975033
2025-04-14,3204.800048828125,5405.97021484375,-0.005400007016144959,0.007944712390868913,5230.482840401785,5560.92900390625,0.026215149959116474,0.012488602615561211
2025-04-15,3218.699951171875,5396.6298828125,0.004337213595847489,-0.0017277808903947145,5276.561383928572,5548.211669921875,0.02614793505339795,0.012475222139232578
2025-04-16,3326.60009765625,5275.7001953125,0.03352289685936416,-0.0224083715440897,5307.054268973215,5529.314013671875,0.02628551138623443,0.013623636649131621
2025-04-17,3308.699951171875,5282.7001953125,-0.005380913232397977,0.0013268380955802073,5349.901436941965,5514.12001953125,0.02614707643641767,0.013724562342550711
2025-04-21,3406.199951171875,5158.2001953125,0.029467767231497577,-0.023567493023827546,5307.230050223215,5493.72001953125,0.026380379039715348,0.014369453668431903
2025-04-22,3400.800048828125,5287.759765625,-0.0015853157246075167,0.025117204723895226,5310.045758928572,5482.826676432292,0.02648932065156844,0.014304497054725605
2025-04-23,3276.300048828125,5375.85986328125,-0.03660903264303972,0.01666113847096007,5311.831473214285,5476.286344401042,0.02667181164253438,0.01623117272778129
2025-04-24,3332.0,5484.77001953125,0.017000869988021305,0.020259113708281262,5323.088588169643,5472.468684895834,0.026932324862674953,0.0163803473574314
2025-04-25,3282.39990234375,5525.2099609375,-0.014885983690351101,0.007373133469998461,5341.457170758928,5472.591682942709,0.02684314149576507,0.016606226998100992
2025-04-28,3332.5,5528.75,0.015263252238240987,0.0006407067039131409,5377.607142857143,5468.918684895833,0.02655193691478519,0.016749045199321952
2025-04-29,3318.800048828125,5560.830078125,-0.0041110131048387455,0.005802410694099036,5417.339983258928,5465.109016927084,0.026546802556017685,0.01680704394577493
2025-04-30,3305.0,5569.06005859375,-0.004158144095784855,0.00147999135976562,5476.034249441965,5463.589013671875,0.026476624917816077,0.01678989389229678
2025-05-01,3210.0,5604.14013671875,-0.02874432677760963,0.006299102138585644,5521.2314453125,5461.217350260416,0.026426407300348325,0.017759027906146228
2025-05-02,3231.89990234375,5686.669921875,0.006822399484034181,0.01472657412963474,5565.632882254465,5462.010009765625,0.026560163701716925,0.0177800778888294
2025-05-05,3311.300048828125,5650.3798828125,0.024567637885936522,-0.006381597588933863,5589.291434151785,5461.437337239583,0.026589472105417303,0.01814407899028876
2025-05-06,3411.39990234375,5606.91015625,0.03022977442079,-0.007693239651855532,5600.962890625,5456.082014973958,0.02641926725716204,0.018769344487416274
2025-05-07,3381.39990234375,5631.27978515625,-0.008794043752944014,0.00434635623313584,5615.610002790178,5451.236344401042,0.026432010625634363,0.0189214106896587
2025-05-08,3296.60009765625,5663.93994140625,-0.025078312869389552,0.005799775094835535,5630.339983258928,5449.627669270833,0.026377873777487872,0.019634514053975632
2025-05-09,3335.39990234375,5659.91015625,0.011769642522029056,-0.0007114809122162891,5643.318568638393,5448.514339192709,0.026370743208242807,0.019614236543752293
2025-05-12,3220.0,5844.18994140625,-0.03459852063396052,0.032558782749008364,5677.611397879465,5457.289339192708,0.02673772334772186,0.020746594684589392
2025-05-13,3240.300048828125,5886.5498046875,0.0063043629901009535,0.0072482009835321826,5706.165666852678,5466.44599609375,0.026747613586002188,0.02067843650685115
2025-05-14,3181.39990234375,5892.580078125,-0.01817737419276233,0.001024415597859818,5740.765694754465,5475.096337890625,0.026745789280114857,0.020983040059280634
2025-05-15,3220.699951171875,5916.93017578125,0.012353067842610033,0.004132332074135769,5785.054268973215,5483.295003255208,0.026733637901157393,0.02106208586433103
2025-05-16,3182.0,5958.3798828125,-0.012016006383268829,0.007005272294898557,5831.782854352678,5502.023665364583,0.025007499703097583,0.02102449832781432
2025-05-19,3228.89990234375,5963.60009765625,0.01473912707220304,0.0008761131291423752,5874.591448102678,5531.674332682292,0.021977379500278216,0.020451190038498254
2025-05-20,3280.300048828125,5940.4599609375,0.015918779782261305,-0.0038802294486252054,5914.669991629465,5560.947998046875,0.02199852180159387,0.020129906204552215
2025-05-21,3309.300048828125,5844.60986328125,0.008840654686561367,-0.01613513066101424,5914.72998046875,5589.675992838542,0.022013152550545822,0.02014837954419365
2025-05-22,3292.300048828125,5842.009765625,-0.0051370379685032885,-0.00044487103794299543,5908.367117745535,5602.51298828125,0.014089444383526915,0.019603264288241325
2025-05-23,3363.60009765625,5802.81982421875,0.021656607165408293,-0.006708297825321674,5895.544224330357,5620.338655598958,0.012381694226475155,0.01913972261009641
2025-05-27,3299.10009765625,5921.5400390625,-0.0191758824257805,0.0204590558452733,5896.202776227678,5638.944661458333,0.012486290096941709,0.0191839949716835
2025-05-28,3293.60009765625,5888.5498046875,-0.0016671212867737095,-0.005571225417268844,5886.22705078125,5655.030647786459,0.012559561193275368,0.019153370507661298
2025-05-29,3317.10009765625,5912.169921875,0.007135049581982633,0.004011194261904327,5878.8798828125,5672.215315755208,0.012529837959160068,0.019176528765637402
2025-05-30,3288.89990234375,5911.68994140625,-0.008501460457109866,-8.118516130162234e-05,5874.769880022322,5693.414973958334,0.011588896681114293,0.01824492562195717
2025-06-02,3370.60009765625,5935.93994140625,0.024841192416430236,0.0041020419271569075,5887.817034040178,5715.189632161459,0.011579003310079434,0.018776660839668526
2025-06-03,3350.199951171875,5970.3701171875,-0.006052378179944973,0.005800290454605506,5906.154227120535,5742.261962890625,0.010347584432588985,0.018010155143341325
2025-06-04,3373.5,5970.81005859375,0.006954823344193173,7.36874595066439e-05,5930.15283203125,5765.030305989583,0.009650116590666509,0.018058121313074074
2025-06-05,3350.699951171875,5939.2998046875,-0.0067585738337409,-0.005277383403094138,5932.68994140625,5783.811637369791,0.00949561336105054,0.01675288735060559
2025-06-06,3322.699951171875,6000.35986328125,-0.008356462950437349,0.010280683010067904,5948.662806919643,5800.997965494792,0.0090478659816911,0.016550187956463555
2025-06-09,3332.10009765625,6005.8798828125,0.002829068715957783,0.0009199480792858594,5962.049944196428,5817.020296223958,0.009017920447221519,0.016313634325765193
2025-06-10,3320.89990234375,6038.81005859375,-0.0033613021770798612,0.00548298940767844,5980.2099609375,5834.022298177083,0.009020840559678249,0.016090412355889892
2025-06-11,3321.300048828125,6022.240234375,0.0001204933891842952,-0.002743888954607865,5992.53857421875,5849.40263671875,0.009063637089896904,0.016071585119333587
2025-06-12,3380.89990234375,6045.259765625,0.01794473628983151,0.0038224199557175265,6003.237095424107,5865.275960286458,0.009062854801116292,0.016371104809371834
2025-06-13,3431.199951171875,5976.97021484375,0.014877710160320134,-0.011296379879250695,6004.117117745535,5877.703629557292,0.009390559418811008,0.015565964396152722
2025-06-16,3396.39990234375,6033.10986328125,-0.010142238669664128,0.009392659896159117,6017.5185546875,5889.251627604167,0.009193468304798141,0.01570507706601503
2025-06-17,3386.60009765625,5982.72021484375,-0.002885350656363417,-0.008352184790166306,6014.998604910715,5900.329638671875,0.009262302295550947,0.015120157289117772
2025-06-18,3389.800048828125,5980.8701171875,0.0009448860448830754,-0.0003092402101070313,6011.42578125,5912.794970703125,0.009093841983521552,0.014067347490539247
2025-06-20,3368.10009765625,5967.83984375,-0.006401543117381503,-0.002178658486505891,6001.287179129465,5924.013639322917,0.009118588939408034,0.014023164587592776
2025-06-23,3377.699951171875,6025.169921875,0.00285022809218316,0.009606504133156335,6001.705705915178,5936.054638671875,0.009199749921476518,0.013206629457671953
2025-06-24,3317.39990234375,6092.18017578125,-0.017852399472962133,0.01112172017970181,6008.408621651785,5950.463639322917,0.009327678717071065,0.013470265406698765
2025-06-25,3327.10009765625,6092.16015625,0.0029240355694371,-3.2861029504172024e-06,6024.864327566965,5958.729313151041,0.00740555279973936,0.01179346799325654
2025-06-26,3333.5,6141.02001953125,0.0019235677184039623,0.008020121275230219,6040.280064174107,5967.211653645833,0.007427835380190818,0.011754610089003477
2025-06-27,3273.699951171875,6173.06982421875,-0.017939117692552853,0.005218970885222163,6067.472865513393,5976.561311848958,0.007459187747785501,0.01174127062143704
2025-06-30,3294.39990234375,6204.9501953125,0.006323105807074736,0.005164427424532603,6099.484305245535,5986.161979166666,0.007473740322032776,0.011591228853115327
